probe_dir_mode,probe_mode,probe_eps,topo_a,topo_b,delta_mean_a_minus_b,p_perm_two_sided_stratified_by_N,reps,seed,status,n_rows
fiedler,add_to_dx,0.002,rr,grid2d_periodic,-9.077018904798495e-05,0.4200289985500725,20000,1337,ok,30
fiedler,add_to_dx,0.005,rr,grid2d_periodic,-0.00014757746157377847,0.623768811559422,20000,1337,ok,30
fiedler,add_to_dx,0.01,rr,grid2d_periodic,-0.00033569221718292666,0.6198190090495476,20000,1337,ok,30
fiedler,add_to_dx,0.02,rr,grid2d_periodic,-0.005046785579263936,0.02569871506424679,20000,1337,ok,30
fiedler,add_to_dx,0.035,rr,grid2d_periodic,-0.007902091637696326,0.017649117544122794,20000,1337,ok,30
fiedler,add_to_dx,0.05,rr,grid2d_periodic,-0.009097326345390634,0.025498725063746813,20000,1337,ok,30
fiedler,add_to_dx,0.07,rr,grid2d_periodic,-0.010421180115694071,0.03584820758962052,20000,1337,ok,30
fiedler,add_to_dx,0.1,rr,grid2d_periodic,-0.015233434509609827,0.01719914004299785,20000,1337,ok,30
fiedler,add_to_dx,0.14,rr,grid2d_periodic,-0.018824572258790584,0.03564821758912055,20000,1337,ok,30
fiedler,add_to_dx,0.2,rr,grid2d_periodic,-0.017088730259633568,0.1568421578921054,20000,1337,ok,30
fiedler,add_to_x,0.002,rr,grid2d_periodic,-0.00852926969178054,0.017649117544122794,20000,1337,ok,30
fiedler,add_to_x,0.005,rr,grid2d_periodic,-0.015233434509609272,0.01719914004299785,20000,1337,ok,30
fiedler,add_to_x,0.01,rr,grid2d_periodic,-0.017088730259631788,0.1568421578921054,20000,1337,ok,30
fiedler,add_to_x,0.02,rr,grid2d_periodic,-0.0692756778555689,0.0032998350082495873,20000,1337,ok,30
fiedler,add_to_x,0.035,rr,grid2d_periodic,-0.16360353314423537,4.999750012499375e-05,20000,1337,ok,30
fiedler,add_to_x,0.05,rr,grid2d_periodic,-0.2658298837617368,4.999750012499375e-05,20000,1337,ok,30
fiedler,add_to_x,0.07,rr,grid2d_periodic,-0.3451366929361691,4.999750012499375e-05,20000,1337,ok,30
fiedler,add_to_x,0.1,rr,grid2d_periodic,-0.39186490473456126,4.999750012499375e-05,20000,1337,ok,30
fiedler,add_to_x,0.14,rr,grid2d_periodic,-0.4368014006372153,4.999750012499375e-05,20000,1337,ok,30
fiedler,add_to_x,0.2,rr,grid2d_periodic,-0.48044667372846983,4.999750012499375e-05,20000,1337,ok,30
random,add_to_dx,0.002,rr,grid2d_periodic,-9.496798537766488e-06,0.025798710064496775,20000,1337,ok,30
random,add_to_dx,0.005,rr,grid2d_periodic,-2.397771750985938e-05,0.02519874006299685,20000,1337,ok,30
random,add_to_dx,0.01,rr,grid2d_periodic,-5.111120941956416e-05,0.024448777561121945,20000,1337,ok,30
random,add_to_dx,0.02,rr,grid2d_periodic,-8.653051287260254e-05,0.03399830008499575,20000,1337,ok,30
random,add_to_dx,0.035,rr,grid2d_periodic,-0.00012162453425325297,0.10189490525473727,20000,1337,ok,30
random,add_to_dx,0.05,rr,grid2d_periodic,-0.00015812212862384109,0.11029448527573621,20000,1337,ok,30
random,add_to_dx,0.07,rr,grid2d_periodic,-0.00022393798923224734,0.10644467776611169,20000,1337,ok,30
random,add_to_dx,0.1,rr,grid2d_periodic,-0.00034111447130542817,0.06424678766061696,20000,1337,ok,30
random,add_to_dx,0.14,rr,grid2d_periodic,-0.0006157140679544679,0.008199590020498975,20000,1337,ok,30
random,add_to_dx,0.2,rr,grid2d_periodic,-0.0023442031989658633,0.00039998000099995,20000,1337,ok,30
random,add_to_x,0.002,rr,grid2d_periodic,-0.00013298407964774402,0.10989450527473626,20000,1337,ok,30
random,add_to_x,0.005,rr,grid2d_periodic,-0.00034111447130542817,0.06424678766061696,20000,1337,ok,30
random,add_to_x,0.01,rr,grid2d_periodic,-0.002344203198965795,0.00039998000099995,20000,1337,ok,30
random,add_to_x,0.02,rr,grid2d_periodic,-0.0046075727907689355,0.0008499575021248938,20000,1337,ok,30
random,add_to_x,0.035,rr,grid2d_periodic,-0.009029309868754772,0.0008499575021248938,20000,1337,ok,30
random,add_to_x,0.05,rr,grid2d_periodic,-0.009884400722884781,0.0030498475076246186,20000,1337,ok,30
random,add_to_x,0.07,rr,grid2d_periodic,-0.010523194475241134,0.004699765011749413,20000,1337,ok,30
random,add_to_x,0.1,rr,grid2d_periodic,-0.008186668623021998,0.03214839258037098,20000,1337,ok,30
random,add_to_x,0.14,rr,grid2d_periodic,-0.01303181535219294,0.022048897555122245,20000,1337,ok,30
random,add_to_x,0.2,rr,grid2d_periodic,-0.018004929961461906,0.013949302534873257,20000,1337,ok,30
smooth,add_to_dx,0.002,rr,grid2d_periodic,-0.0003012909406913773,4.999750012499375e-05,20000,1337,ok,30
smooth,add_to_dx,0.005,rr,grid2d_periodic,-0.0007111766052440454,4.999750012499375e-05,20000,1337,ok,30
smooth,add_to_dx,0.01,rr,grid2d_periodic,-0.0014333091084153464,9.99950002499875e-05,20000,1337,ok,30
smooth,add_to_dx,0.02,rr,grid2d_periodic,-0.004222472923380443,9.99950002499875e-05,20000,1337,ok,30
smooth,add_to_dx,0.035,rr,grid2d_periodic,-0.009174953588299431,9.99950002499875e-05,20000,1337,ok,30
smooth,add_to_dx,0.05,rr,grid2d_periodic,-0.013143733148440431,9.99950002499875e-05,20000,1337,ok,30
smooth,add_to_dx,0.07,rr,grid2d_periodic,-0.016271951034993723,9.99950002499875e-05,20000,1337,ok,30
smooth,add_to_dx,0.1,rr,grid2d_periodic,-0.019543426606102178,9.99950002499875e-05,20000,1337,ok,30
smooth,add_to_dx,0.14,rr,grid2d_periodic,-0.022744452851486668,0.00014999250037498125,20000,1337,ok,30
smooth,add_to_dx,0.2,rr,grid2d_periodic,-0.03312417077586108,0.00014999250037498125,20000,1337,ok,30
smooth,add_to_x,0.002,rr,grid2d_periodic,-0.010353428789383418,9.99950002499875e-05,20000,1337,ok,30
smooth,add_to_x,0.005,rr,grid2d_periodic,-0.01954342660610317,9.99950002499875e-05,20000,1337,ok,30
smooth,add_to_x,0.01,rr,grid2d_periodic,-0.03312417077586022,0.00014999250037498125,20000,1337,ok,30
smooth,add_to_x,0.02,rr,grid2d_periodic,-0.08031489666807735,9.99950002499875e-05,20000,1337,ok,30
smooth,add_to_x,0.035,rr,grid2d_periodic,-0.1396177230652023,4.999750012499375e-05,20000,1337,ok,30
smooth,add_to_x,0.05,rr,grid2d_periodic,-0.21003980910079884,4.999750012499375e-05,20000,1337,ok,30
smooth,add_to_x,0.07,rr,grid2d_periodic,-0.2676424011614577,4.999750012499375e-05,20000,1337,ok,30
smooth,add_to_x,0.1,rr,grid2d_periodic,-0.33524136757910694,4.999750012499375e-05,20000,1337,ok,30
smooth,add_to_x,0.14,rr,grid2d_periodic,-0.39343231932632394,4.999750012499375e-05,20000,1337,ok,30
smooth,add_to_x,0.2,rr,grid2d_periodic,-0.4593794551920898,4.999750012499375e-05,20000,1337,ok,30
