topology,N,probe_eps,delta_mean_a_minus_b
grid2d_periodic,1024,0.002,0.008637041375221125
grid2d_periodic,1024,0.005,0.0168117271636776
grid2d_periodic,1024,0.01,0.030898351579731587
grid2d_periodic,1024,0.02,0.07347594746791519
grid2d_periodic,1024,0.035,0.1293989100740487
grid2d_periodic,1024,0.05,0.1832392436090324
grid2d_periodic,1024,0.07,0.23077120630864303
grid2d_periodic,1024,0.1,0.2644877566760187
grid2d_periodic,1024,0.14,0.30569206763382206
grid2d_periodic,1024,0.2,0.3547536756747068
grid2d_periodic,2048,0.002,0.001062787046324171
grid2d_periodic,2048,0.005,0.00191757361444725
grid2d_periodic,2048,0.01,-0.0011077145287696846
grid2d_periodic,2048,0.02,0.010993474613341069
grid2d_periodic,2048,0.035,0.037413327409805915
grid2d_periodic,2048,0.05,0.06809783281465827
grid2d_periodic,2048,0.07,0.08853966616815982
grid2d_periodic,2048,0.1,0.11235766997300134
grid2d_periodic,2048,0.14,0.13085550167963028
grid2d_periodic,2048,0.2,0.1511157893891134
grid2d_periodic,4096,0.002,0.0007905469953363728
grid2d_periodic,4096,0.005,0.0013144506908658118
grid2d_periodic,4096,0.01,0.0016955323110254134
grid2d_periodic,4096,0.02,0.006520314841604066
grid2d_periodic,4096,0.035,0.01514541099838955
grid2d_periodic,4096,0.05,0.028372660451473904
grid2d_periodic,4096,0.07,0.04289997625704386
grid2d_periodic,4096,0.1,0.06271584197897513
grid2d_periodic,4096,0.14,0.0833210020507412
grid2d_periodic,4096,0.2,0.11028326134297256
rr,1024,0.002,0.0003564974009306869
rr,1024,0.005,0.0009314178442541783
rr,1024,0.01,0.001956670929305775
rr,1024,0.02,0.0041806217402274165
rr,1024,0.035,0.007771427784442017
rr,1024,0.05,0.011518222974460967
rr,1024,0.07,0.0166843856256699
rr,1024,0.1,0.024300230159401633
rr,1024,0.14,0.03434741848624405
rr,1024,0.2,0.049179189115960587
rr,2048,0.002,0.0002480230239866992
rr,2048,0.005,0.0006492132651834091
rr,2048,0.01,0.0013685039864496193
rr,2048,0.02,0.0029489864063099
rr,2048,0.035,0.0055532198072745995
rr,2048,0.05,0.0083060147810951
rr,2048,0.07,0.01200253026398925
rr,2048,0.1,0.017633712490261216
rr,2048,0.14,0.025109926302596498
rr,2048,0.2,0.036107896711983105
rr,4096,0.002,0.0001772347474198014
rr,4096,0.005,0.0004627666738803269
rr,4096,0.01,0.0009723860614940455
rr,4096,0.02,0.0020831606113569036
rr,4096,0.035,0.003908382971306733
rr,4096,0.05,0.005808861515670734
rr,4096,0.07,0.008414253987793417
rr,4096,0.1,0.012421867716478449
rr,4096,0.14,0.01768608932837095
rr,4096,0.2,0.025671559020607967
